Entry,Internet Service Provider,Package (if known),Fastest Download,Slowest Download,Mean Download,Median Download,Fastest Upload,Slowest Upload,Mean Upload,Median Upload
1,Virgin Media,,134.884187,"111.329712
",128.1697752,129.1423641,18.805802,14.64764,17.33637346,17.41705914
2,Sky,,49.43,8.98,36.17,35.46,43.1,16.71,31.89,38.86
3,TalkTalk,Fibre,20.446254,0.745508,9.367276,7.287259,2.783973,0.403948,1.833612,2.4
4,Virgin Media,Fibre ,55.4,7.1,52.05,54.26,17,15.5,16.7,16.8
5,BT,BT Full Fibre,264.895871,40.238898,194.118993,226.162369,106.086557,37.925518,85.142903,95.279438
7,NA,NA,49.687,42.749587,45.344958,45.212323,17.37787,16.475855,17.192366,17.234507
8,Virgin Media,Full Fibre,46.66,32.16,42.18,42.9,35.08,6.42,26.97,29.2
9,TalkTalk,,69.09,66.58,67.78,67.7,18,16.67,17.54,17.58
10,BT,NA,72.16250677,55.90231502,68.01246243,67.99946426,18.87246075,17.65234395,18.61853341,18.6715227
11,Sky,,40.25356246,25.23570089,34.61024324,35.28064386,13.94364923,12.43751383,13.46720856,13.53964274
12,EE,EE Full Fibre,51.2,42.88,50.48,50.92,15.79,12.83,14.94,15.62
13,Sky,Sky Ultrafast Plus,343.408478,207.511639,308.163939,311.056251,66.073912,35.592609,58.117007,58.727772
